feature1,feature2,country
-19815.12801777896,-1651.1247204294716,90.2
-11338.938991845522,1493.4690276449917,16.6
-8926.35258916231,3264.684101673966,27.3
-14652.465936549794,-867.7952695618278,119.0
896.1420320178308,1898.4781514341005,10.3
-699.6993063414194,3004.511711445013,14.5
-14283.944388471597,-92.96722413572687,18.1
44372.70251424709,-11635.452718780227,4.8
42246.34214855243,-6765.258442554378,4.3
-5725.513088616045,4391.181822690324,39.2
14510.86480851451,-6973.907023510699,13.8
22723.27334312446,10833.03929534835,8.6
-19071.07615543642,-1229.9497886317622,49.4
744.7352536452082,-3473.4057043131324,14.2
-5449.620911632072,4390.499531582858,5.5
39002.92756398523,-6390.863366072688,4.5
-12657.029818511672,-96.34409420613216,18.8
-19521.704558054447,-1655.8586115111812,111.0
-15201.82042724085,470.52418545280585,42.7
-16073.223936552271,-77.90392168602177,46.6
-11134.355848721478,971.3159236451343,6.9
-7337.422760833982,2165.8818595281655,52.5
-3133.8296800588455,-534.5722783458261,19.8
61458.57420892507,27355.235837839256,10.5
-5547.304480513462,3183.6117785046295,10.8
-19930.847861157094,-1790.7629418761894,116.0
-20651.142870209347,-1998.2361202537818,93.6
-18993.675822752382,-1195.3074270319594,44.4
-18532.066416397276,-1480.0241770297762,108.0
40772.913344439476,-8845.914067626967,5.6
-14854.391095995248,-755.9755815750484,26.5
-20413.388006676356,-2069.341065135539,149.0
-19346.308348101455,-1681.3248741288428,150.0
1594.9935210060296,1595.8201172525232,8.7
-11306.796152430372,877.1346863630896,15.7
-9150.291558733737,589.9772330384066,18.6
-19812.097766579693,-1945.4759675569858,88.2
-20693.038659851605,-2179.539605460641,116.0
-15711.053195877,-781.3143294140223,63.9
-6284.640725820604,615.3405325048819,10.2
-18572.071959640376,-1393.9829206292836,111.0
2515.8624558992988,1640.6042647838433,5.5
24428.431171381846,-1452.8334271638696,3.6
12802.705440432797,2694.7378868684973,3.4
50452.38145902234,-14282.630139813748,4.1
-9554.474092709039,1308.7549645538847,34.4
-11368.925287272434,680.813580408419,25.1
-12413.317179415035,2528.2265167272326,29.1
-14005.88144383193,486.33024583818445,19.2
14872.412063035836,8366.203248766082,111.0
-20001.956097758324,-1730.022149800734,55.2
5161.022576511926,2627.1708102768243,4.5
-13516.175195546564,41.050210838311706,24.1
39294.56311983621,-8592.020367234381,3.0
33340.32297200523,-6514.27007653427,4.2
-4162.688149373931,1864.195458396005,63.7
-19772.591401550813,-1623.3026651735036,80.3
-14440.727846417043,116.60782757185693,16.5
36708.231061416394,-4982.18777131065,4.2
-18241.33498620441,-1205.231804971918,74.7
17970.402048732103,-2190.4492585652324,3.9
-8162.92420263091,-17.897863472372062,14.6
-14544.582436596384,197.3264569118605,35.4
-20055.11087165496,-2008.6543012168695,109.0
-19979.151138370657,-1797.8943278627642,114.0
-15032.587202622351,-552.8713895994433,37.6
-19820.29246181686,-1805.960744827597,208.0
3839.9694956185326,3442.535857438903,6.0
35614.13437292908,-6153.895351449369,2.6
-17232.742059157717,-306.9817439823456,58.8
-13102.246499103838,1175.314893884418,33.3
-4234.101714541571,4851.3754677660245,19.3
-9044.234647456451,3098.228094033961,36.9
45299.668810840296,-6356.093486720855,4.2
21166.028106267633,-4261.187766765828,4.6
29534.45662812385,-3506.7171503618206,4.0
-12336.286629961227,-261.032391914393,18.1
35219.823770184754,-10104.190385417562,3.2
-11954.864806453686,1475.4780253502533,21.1
-527.1394266314524,4860.097324910751,21.5
-18898.45103351703,-1354.3678299608398,62.2
-19084.259018142577,-2249.640996025167,62.7
59732.23732943711,21320.360857437758,10.8
-18732.871947601583,-1078.1485827231168,29.6
-17689.500845491937,-449.7315807759943,78.9
-303.4644758925392,2003.0355363813562,7.8
-3433.014878878807,2402.4732884912733,10.3
-18831.70049459316,-1570.5887391154656,99.7
-20631.695791899663,-2111.9527183746964,89.3
8458.294572763221,9183.663375507278,16.6
2212.26825514301,3417.6569905835063,6.1
117402.80249614116,-15674.306655159318,2.8
-9961.50227007325,2176.195835926373,10.4
-20071.14794252727,-1700.4685743263215,62.2
-20301.205903140006,-1981.2025452272471,90.5
199.64710156791895,5547.047988729736,7.9
-8857.079488165205,-302.4558157324344,13.2
-19519.734972036633,-1585.1908722565718,137.0
13695.734033584535,1750.0528366749174,6.8
-18127.945024835346,-946.6854464153287,97.4
-4314.448842625838,2752.7266341019717,15.0
-16973.112613333964,-2139.346843828985,40.0
-17403.733329152903,-853.8822995767988,17.2
-13941.461725739944,1015.0808364296025,26.1
-6601.981890679639,2406.9061933730304,6.8
-14740.797717011774,11.869072034012538,33.5
-20410.07986761959,-2029.063890804279,101.0
-17982.875734453348,-517.8888397799409,64.4
-11651.68553214798,-315.70530360694255,56.0
-19512.139087091116,-1418.4186196449432,47.0
46253.348218674095,-7656.299907507478,4.5
25257.64473205311,-4659.469039815983,6.2
-20534.452701859955,-2048.9250814252823,123.0
-16021.84855345073,-510.89605950594574,130.0
84221.60299882434,-23369.364656377482,3.2
24813.93679384647,14735.4791787342,11.7
-17540.192458770154,-171.0142562336778,92.1
-4622.861337414358,2351.1508669265104,19.7
-13848.281044007566,305.06715459715787,24.1
-10678.320886340663,838.1982904102925,20.3
-15832.097714773992,-56.40307118946982,31.9
3133.118905784806,3462.4161824381267,6.0
13857.90554318315,-23.109773463296968,3.9
117767.79673254698,32417.612311889287,9.0
-2775.6514003709794,3890.676297327742,11.5
2772.756862668542,5736.20143287511,10.0
-19997.18990224484,-1836.9736621618815,63.6
-15070.72247625698,-1153.08868074326,18.9
24886.59876974944,14804.151844938404,15.7
-19093.80772418737,-1584.4201804652687,66.8
-8419.126824221781,2436.895822265319,7.6
879.2727688108527,3808.9442246818926,14.4
-20204.3973459224,-1807.130232493034,160.0
63043.34401810065,13304.440106320686,2.8
8351.698724845917,2890.9355420403826,7.0
15566.261064498276,353.2077122021606,3.2
-19185.25641744304,-2069.8909778654406,28.1
-7643.383850784686,597.0146919460868,53.7
15908.743840834599,2465.7022386435015,4.1
23342.27959296654,-2341.8505678222336,3.8
-13213.82450793197,1482.646911125514,11.2
-9876.234201857016,-68.64170541970122,20.7
-17899.278931179324,-1115.8497855110909,76.7
-5343.857428565317,1366.9619474544745,24.1
45600.220748623025,-10750.419503868718,3.0
70212.59696046116,-18447.2264848225,4.5
-19324.64000902327,-1442.0929227077754,52.4
-19363.92269848624,-1429.6782391573197,71.9
-8064.394857530679,3226.2748231355736,14.9
-17547.691695041467,-3700.6546284323954,62.6
-20150.45755388598,-1878.6209741150012,90.3
-15307.272707402406,-1514.2768483922098,17.4
-10963.010994887189,1779.9975325489613,17.4
-933.6604353984234,2232.9757744570993,19.1
-11091.26904140735,1245.9964976621595,62.0
-19837.141030440318,-1729.720425893591,81.0
-13641.695897675954,858.0815278139155,11.7
44537.33847445938,11774.479512979846,8.6
31663.862009552886,-5759.631014300135,5.2
47782.50297677888,-3596.616071076708,7.3
-763.4370964085939,742.6747648112841,10.6
-17335.658854125097,-445.5348172395862,36.3
-17180.96767864898,-2487.1538347227274,29.2
-100.44597279559596,-832.2528018441535,17.1
-17202.017189411374,-222.88987217332968,23.3
-17209.340212965973,-229.81590056331845,56.3
-17978.421643205347,-1163.1246309085782,83.1
